metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.09643129419996313,0.18000000000000002,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.1097522377379192,0.24,1,0.0,0.5139762950856426,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.062764486510794,0.12,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.11072959074803404,0.14000000000000004,1,0.0,0.316227766016838,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.020294448000613266,0.04000000000000002,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.025131791643458468,0.07999999999999997,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.20200964069572336,0.5,0,1.0,0.5,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,mimo-v2-omni,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_01,1,0.9,high,en,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_01,1,0.9,high,zh,1.0,1.0,0,,-0.6425294053171791,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_02,2,0.3,low,en,1.0,1.0,0,,-0.36429003203460203,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_02,2,0.3,low,zh,1.0,1.0,0,,-0.49071459558785424,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.8001247626772143,0.88,0,,-0.014810216032361639,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.7436288597997169,0.82,0,,-0.2828802196259148,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_04,4,0.24,low,en,0.5605218825340386,0.76,1,,0.4633239167994182,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.5802266559346911,0.76,1,,0.03793216209054408,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.8179106162980085,0.92,0,,0.1292552172226444,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_05,5,0.64,medium,zh,1.0,1.0,0,,-0.647775313812849,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_06,6,0.44,medium,en,1.0,1.0,0,,-0.40547849682554116,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_06,6,0.44,medium,zh,0.9757262351386333,0.98,0,,-0.14673189534085726,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_07,7,0.28,low,en,1.0,1.0,0,,-0.3382950893557894,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_07,7,0.28,low,zh,0.9449022499567308,0.96,0,,-0.06488003216752793,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_08,8,0.33,low,en,0.9757262351386333,0.98,0,,-0.09014660745260714,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_08,8,0.33,low,zh,0.9397312609749486,0.9600000000000001,0,,-0.13705454793852606,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_09,9,0.48,medium,en,0.6539504182487081,0.74,0,,-0.01996011960139498,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_09,9,0.48,medium,zh,0.350731388097827,0.52,1,,0.01996011960139498,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_10,10,0.92,high,en,1.0,1.0,0,,-0.6354889093022424,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_10,10,0.92,high,zh,1.0,1.0,0,,-0.6354889093022424,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_11,11,0.56,medium,en,0.6561079720711209,0.8,0,,-0.3416812634205078,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_11,11,0.56,medium,zh,0.7728307229539653,0.8,0,,-0.09166984970282112,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_12,12,0.3,low,en,0.9135824643629125,0.96,0,,0.13765283796607683,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_12,12,0.3,low,zh,1.0,1.0,0,,-0.3455058811955659,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_13,13,0.83,high,en,0.3240366966422652,0.43999999999999995,1,,0.22360679774997894,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_13,13,0.83,high,zh,0.09948865981512481,0.17,1,,0.22360679774997894,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_14,14,0.74,high,en,1.0,1.0,0,,-0.5388159060803247,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_14,14,0.74,high,zh,1.0,1.0,0,,-0.5388159060803247,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_15,15,0.88,high,en,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
human_alignment,openai,mimo-v2-omni,1,study2_british_within,study2_item_15,15,0.88,high,zh,0.062764486510794,0.12,1,,0.7905694150420948,50,50,1.0,,
