scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,,en_vs_zh,jsd,0.003974338024291321,0.14216949695242517
aggregate,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,,en_vs_zh,tvd,0.015966666666666664,0.2373333333333333
aggregate,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,,en_vs_zh,top1_match,0.6666666666666666,1.0
aggregate,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.3333333333333333
aggregate,human_alignment,openai,gpt-4o-mini,1,study2_british_within,,en,jsd,0.6339505339360532,0.9032485564128477
aggregate,human_alignment,openai,gpt-4o-mini,1,study2_british_within,,en,tvd,0.7193312925170067,0.9453646258503402
aggregate,human_alignment,openai,gpt-4o-mini,1,study2_british_within,,en,top1_match,0.0,0.3333333333333333
aggregate,human_alignment,openai,gpt-4o-mini,1,study2_british_within,,zh,jsd,0.6110288567985742,0.9241965856731945
aggregate,human_alignment,openai,gpt-4o-mini,1,study2_british_within,,zh,tvd,0.67665,0.9540166666666667
aggregate,human_alignment,openai,gpt-4o-mini,1,study2_british_within,,zh,top1_match,0.0,0.4
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.3015558669343677,0.5605218825340386
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.48,0.76
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_02,en_vs_zh,spearman,-0.5,0.5
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.2846195396996511,0.5605218825340386
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.5,0.76
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_03,en_vs_zh,spearman,-1.0,0.8660254037844387
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.0,0.04120259398127841
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.0,0.09999999999999999
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.028736187782573593,0.22858486255402025
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.15999999999999995,0.5
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.5,1.0
item,cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.03066939825433814,0.14406499878168008
