provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,1,1.0,256,293911609,120,4,ee5c186c997679ce97cd9e2f085f97b9db1b2abd7a386b7daf43de36eadab1cb,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,3896ce02-d5db-498b-bea6-c742091cc58a,66,1,67,1.933228738605976,disk_cache,0,0,True,True,64,,"{'id': '3896ce02-d5db-498b-bea6-c742091cc58a', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'London', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003318, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 1, 'prompt_tokens': 66, 'total_tokens': 67, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 2}}",2026-04-12T14:15:43.228428+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,0,1.0,256,447924741,120,4,cc1ed1ab99ed7deac73fc03c1728d2412c07b762ab7d19a6f7a3d1cce593bf58,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,1ac02d15-5668-42a0-bc3f-d3c694aea3cb,66,1,67,1.7832902036607265,disk_cache,0,0,True,True,64,,"{'id': '1ac02d15-5668-42a0-bc3f-d3c694aea3cb', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'London', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003318, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 1, 'prompt_tokens': 66, 'total_tokens': 67, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 2}}",2026-04-12T14:15:43.230517+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,3,1.0,256,673359281,120,4,99e04aebfeb2086f23f2039bb29843efa519f6c9d237dc1d25b745adc90258c8,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,77f486c4-a47a-4164-98b6-a89a98e1cf99,66,1,67,2.043681452050805,disk_cache,0,0,True,True,64,,"{'id': '77f486c4-a47a-4164-98b6-a89a98e1cf99', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'London', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003318, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 1, 'prompt_tokens': 66, 'total_tokens': 67, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 2}}",2026-04-12T14:15:43.230886+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,2,1.0,256,122014301,120,4,726b9bcc89f4897ed6208064b9e00b6bf258bcfea6ff6f497f3082cdf76f74f3,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,314e73d0-740c-4f61-8a89-16520db80420,66,1,67,1.9444252122193575,disk_cache,0,0,True,True,64,,"{'id': '314e73d0-740c-4f61-8a89-16520db80420', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'London', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003318, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 1, 'prompt_tokens': 66, 'total_tokens': 67, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 2}}",2026-04-12T14:15:43.231137+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,4,1.0,256,108335152,120,4,6d6d46cd1f37e2a38781d13be529bb9b70b21e092e10b39cec147a39b921e5f4,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,c33c4773-0efd-4459-bab2-236ff2828832,66,1,67,1.2946239951997995,disk_cache,0,0,True,True,64,,"{'id': 'c33c4773-0efd-4459-bab2-236ff2828832', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'London', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003322, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 1, 'prompt_tokens': 66, 'total_tokens': 67, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 2}}",2026-04-12T14:15:43.231980+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,5,1.0,256,189450029,120,4,748397d9b973707355fcc2ed86ab2a077266fdded9bc7246a6803254fb3fe2ed,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,3fe7d607-b256-4009-b571-2be3c557266f,66,1,67,1.3127235490828753,disk_cache,0,0,True,True,64,,"{'id': '3fe7d607-b256-4009-b571-2be3c557266f', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'London', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003322, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 1, 'prompt_tokens': 66, 'total_tokens': 67, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 2}}",2026-04-12T14:15:43.232345+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,6,1.0,256,557022987,120,4,1a7d969316e118311d71166b6c90b6d5513d156ee5996d5aa5d9351bf2fdb27d,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,8941b7c6-2a84-40dc-970a-8717f80c3732,66,1,67,1.1770690605044365,disk_cache,0,0,True,True,64,,"{'id': '8941b7c6-2a84-40dc-970a-8717f80c3732', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'London', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003322, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 1, 'prompt_tokens': 66, 'total_tokens': 67, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 2}}",2026-04-12T14:15:43.232579+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,7,1.0,256,651778595,120,4,0f46956367bfbd345acc4cac90485820e9fc56b71009ebec5947b24c292dc667,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,01d24efd-abb7-4e6c-865c-9f61e22be051,66,1,67,1.2640198301523924,disk_cache,0,0,True,True,64,,"{'id': '01d24efd-abb7-4e6c-865c-9f61e22be051', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'London', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003322, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 1, 'prompt_tokens': 66, 'total_tokens': 67, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 2}}",2026-04-12T14:15:43.232732+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,8,1.0,256,229017835,120,4,eb7b150959810f6843784824f79724c2e95d28ba57ee126da435c3d6382903d3,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,1e4c42dd-368f-46ba-aa79-9f3a2842cf9d,66,1,67,1.4939931351691484,provider_api,0,1,False,False,64,,"{'id': '1e4c42dd-368f-46ba-aa79-9f3a2842cf9d', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'London', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003343, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 1, 'prompt_tokens': 66, 'total_tokens': 67, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 2}}",2026-04-12T14:15:46.726623+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
deepseek,deepseek-chat,deepseek-chat,deepseek-chat,deepseek_openai_compat,study2_british_within,study2_item_01,Name a city,说出一座城市,en,English,1,10,1.0,256,567963904,120,4,d73282063325c07481c08a824f95c50a274999d193aea27d898c6f861ce6cdf1,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a city",London,stop,1edce425-f3ea-4858-a459-bfad35461804,66,1,67,1.4949614889919758,provider_api,0,1,False,False,64,,"{'id': '1edce425-f3ea-4858-a459-bfad35461804', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'London', 'refusal': None, 'role': 'assistant', 'annotations': None, 'audio': None, 'function_call': None, 'tool_calls': None}}], 'created': 1776003343, 'model': 'deepseek-chat', 'object': 'chat.completion', 'service_tier': None, 'system_fingerprint': 'fp_eaab8d114b_prod0820_fp8_kvcache_new_kvcache_20260410', 'usage': {'completion_tokens': 1, 'prompt_tokens': 66, 'total_tokens': 67, 'completion_tokens_details': None, 'prompt_tokens_details': {'audio_tokens': None, 'cached_tokens': 64}, 'prompt_cache_hit_tokens': 64, 'prompt_cache_miss_tokens': 2}}",2026-04-12T14:15:46.727795+00:00,,London,London,london,London,london,** London,alias,london,london,100.0
