scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,jsd,0.029571300513316856,0.30530110014019485
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,tvd,0.05053333333333334,0.3706666666666667
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,top1_match,0.6666666666666666,1.0
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.3333333333333333
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,en,jsd,0.6857512284903807,1.0
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,en,tvd,0.709125,1.0
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,en,top1_match,0.0,0.35714285714285715
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,zh,jsd,0.6702296770574063,0.972775354031705
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,zh,tvd,0.7019666666666666,0.984
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,zh,top1_match,0.0,0.3333333333333333
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.7213096794945422,0.9406557062070924
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.82,0.98
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en_vs_zh,spearman,-1.0,-0.5
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.09643129419996314,0.26537374235093775
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.18000000000000002,0.44
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en_vs_zh,spearman,0.8660254037844387,1.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.13184072559510335,0.327323604495017
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.24,0.52
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.8660254037844387,0.8660254037844387
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.09643129419996313,0.2653737423509377
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.18000000000000002,0.43999999999999995
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_10,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_10,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_11,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_11,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_12,en_vs_zh,jsd,0.6099865470109875,0.9289911704818996
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_12,en_vs_zh,tvd,0.8,0.98
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_13,en_vs_zh,jsd,0.062764486510794,0.22245044877074757
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_13,en_vs_zh,tvd,0.12,0.38
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_14,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_14,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_15,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_15,en_vs_zh,tvd,0.0,0.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en,spearman,-0.6425294053171791,-0.6425294053171791
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,zh,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,zh,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,zh,spearman,-0.6425294053171791,-0.6425294053171791
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en,spearman,-0.36429003203460203,-0.36429003203460203
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,zh,jsd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,zh,tvd,1.0,1.0
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,zh,spearman,-0.36429003203460203,-0.36429003203460203
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en,jsd,0.6982518439124987,0.7610207799050686
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en,tvd,0.85,0.9
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en,spearman,0.42477605603386526,0.42477605603386526
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,zh,jsd,0.7821293307527639,0.8046181943834441
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,zh,tvd,0.9099999999999999,0.91
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,zh,spearman,0.14992096095312893,0.1780311411318406
item,human_alignment,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en,jsd,1.0,1.0
